,Л16,Л24,A11,A12,A15,A17
Л16,1.0,0.99832046789,0.992156786339,0.993025197293,0.990153820748,0.982663102408
Л24,0.99832046789,1.0,0.985604168459,0.992585221777,0.990711994407,0.973297902913
A11,0.992156786339,0.985604168459,1.0,0.989389673025,0.983295329221,0.995229648701
A12,0.993025197293,0.992585221777,0.989389673025,1.0,0.997601725411,0.985565170895
A15,0.990153820748,0.990711994407,0.983295329221,0.997601725411,1.0,0.976649555245
A17,0.982663102408,0.973297902913,0.995229648701,0.985565170895,0.976649555245,1.0
