,Л16,Л20,Л24,A11,A12,A14,A15,A16,A17
Л16,1.0,0.950427446888,0.99832046789,0.992156786339,0.993025197293,0.981850398184,0.990153820748,0.925906573498,0.982663102408
Л20,0.950427446888,1.0,0.955424077987,0.931168236158,0.933410061616,0.979534048117,0.946502079715,0.993177928394,0.901004797579
Л24,0.99832046789,0.955424077987,1.0,0.985604168459,0.992585221777,0.984277899005,0.990711994407,0.93048648851,0.973297902913
A11,0.992156786339,0.931168236158,0.985604168459,1.0,0.989389673025,0.973701249905,0.983295329221,0.906988267143,0.995229648701
A12,0.993025197293,0.933410061616,0.992585221777,0.989389673025,1.0,0.982504853677,0.997601725411,0.901020640346,0.985565170895
A14,0.981850398184,0.979534048117,0.984277899005,0.973701249905,0.982504853677,1.0,0.990041875581,0.960316058581,0.956509571102
A15,0.990153820748,0.946502079715,0.990711994407,0.983295329221,0.997601725411,0.990041875581,1.0,0.916793480586,0.976649555245
A16,0.925906573498,0.993177928394,0.93048648851,0.906988267143,0.901020640346,0.960316058581,0.916793480586,1.0,0.868058103162
A17,0.982663102408,0.901004797579,0.973297902913,0.995229648701,0.985565170895,0.956509571102,0.976649555245,0.868058103162,1.0
